id,name,country,lat,long,usedstart,usedend
595,'sGravendeel,NLD,51.7667,4.6,3477,11279
599,Suez Canal,EGY,,,3478,4272
603,Rio de Janeiro,BRA,-22.9167,-43.2,3482,38
607,Randers,DNK,56.4606,10.0444,3577,11585
611,Makassar,IDN,-5.1333,119.4,3580,422
614,Zhongshan,CHN,22.5167,113.35,3622,7807
620,Pulau Langkawi,MYS,6.4333,99.75,3624,423
626,Fairport,USA,41.7667,-81.3167,3630,4185
628,Brighton(TTO),TTO,10.2455,-61.632,3644,4274
633,Gebe Is.,IDN,-0.0658,129.3902,3647,37818
634,Tachibana,JPN,33.8833,134.7167,3648,25038
639,Barranquilla,COL,10.9589,-74.767,3649,1243
642,Port Okha,IND,22.4667,69.0833,3734,7157
648,Yerakini,GRC,40.2667,23.4333,3743,4276
657,Coquimbo,CHL,-29.95,-71.35,3744,3027
658,Port Canaveral,USA,28.4167,-80.5833,3762,27725
659,Sao Sebastiao,BRA,-23.8078,-45.4025,3765,39
665,Firth of Clyde,GBR,55.5209,-4.8991,3775,38335
670,Surabaya,IDN,-7.2,112.7333,3776,424
674,Pago Pago,ASM,-14.2734,-170.6817,3898,27593
681,Kristiansand,NOR,58.1444,7.995,3899,4000
686,Limassol,CYP,34.6542,33.0103,3912,2739
689,Novorossiysk,RUS,44.735,37.7894,3951,2312
690,Bajo Grande,VEN,10.5061,-71.635,3972,17522
693,Porsgrunn,NOR,59.1333,9.65,3976,252
694,Bocas del Toro,PAN,9.3333,-82.25,3994,35118
699,Sault Ste. Marie,CAN,46.5147,-84.3525,3995,1989
703,Maizuru,JPN,35.4833,135.3667,4071,790
704,Guaranao Bay,VEN,11.6698,-70.2136,4095,1244
719,Stigsnaesvaerkets Havn,DNK,55.2069,11.2483,4100,11588
722,Pyeongtaek,KOR,36.9969,126.7914,4101,588
725,Clarkson,CAN,43.4986,-79.6056,4185,4001
728,Gibraltar(fo),GIB,,,4195,4282
730,Fujairah,ARE,25.1667,56.3667,4201,589
731,Gibraltar,GIB,36.1361,-5.3542,4233,40
732,Algiers,DZA,36.7706,3.0531,4763,855
738,Ambelaki,GRC,37.9508,23.5289,4809,14519
739,Mauritania,MRT,,,4810,4284
742,Naantali,FIN,60.4667,22.0167,4811,12304
743,Santo Tomas de Castilla,GTM,15.6936,-88.6153,4812,1829
747,Batu Ampar,IDN,1.1667,104,4841,16543
752,Amagasaki,JPN,34.7108,135.3905,4845,9417
754,Grand Haven,USA,43.0667,-86.25,4852,1991
760,Cumarebo,VEN,11.5,-69.35,4860,20353
766,Puerto Castilla,HND,16.0167,-86.05,4862,4815
774,Zhangjiagang,CHN,31.9664,120.3969,4866,425
778,Eastport,USA,44.9,-66.9833,4951,1523
790,Mejillones,CHL,-23.1,-70.4667,4952,2041
797,Poro(Luzon),PHL,16.6167,120.3167,4992,15950
799,Detour,USA,45.9944,-83.9028,4993,1992
800,Port Elizabeth Anch.,ZAF,-33.8966,25.7203,5015,654
805,Ayr,GBR,55.4703,-4.6328,5019,3978
808,Naoetsu,JPN,37.1833,138.25,5021,4104
809,Cowichan Bay,CAN,48.75,-123.6,no,10956
811,Kolkata,IND,22.5833,88.35,5045,426
818,Vostochnyy,RUS,42.7503,133.0767,5065,692
