id,flag,type,size,age,owner,operator
747476,CYP,Bulk,Panamax,<5,Cyprus Maritime Company Limited,Cyprus Maritime Company Limited
747482,LBR,Bulk,Panamax,<5,Merchant Marine Management S.A.,Merchant Marine Management S.A.
748806,MHL,Bulk,Capesize,<5,Oskar Wehr KG (GmbH & Company),Oskar Wehr KG (GmbH & Company)
748808,MHL,Bulk,Capesize,<5,Oskar Wehr KG (GmbH & Company),Oskar Wehr KG (GmbH & Company)
748810,MHL,Bulk,Capesize,<5,Oskar Wehr KG (GmbH & Company),Oskar Wehr KG (GmbH & Company)
749006,MHL,Bulk,Panamax,<5,Transocean Maritime Agencies S.A.M.,Transocean Maritime Agencies S.A.M.
749014,MHL,Bulk,Panamax,<5,Transocean Maritime Agencies S.A.M.,Transocean Maritime Agencies S.A.M.
749567,PAN,Bulk,Capesize,<5,Shunzan Kaiun Company Limited,Shunzan Kaiun Company Limited
749569,MHL,Bulk,Capesize,<5,Shunzan Kaiun Company Limited,Shunzan Kaiun Company Limited
749572,MHL,Bulk,Panamax,<5,Diana Shipping Incorporated,Diana Shipping Services S.A.
749573,MHL,Bulk,Panamax,<5,Diana Shipping Incorporated,Diana Shipping Services S.A.
749577,MHL,Bulk,Capesize,<5,Lykiardopulo & Company Limited,Lykiardopulo & Company Limited
749579,MHL,Bulk,Capesize,<5,Lykiardopulo & Company Limited,Lykiardopulo & Company Limited
749615,MHL,Bulk,Capesize,<5,Chandris Group,Chandris (Hellas) Incorporated
749616,GRC,Bulk,Capesize,<5,Chandris Group,Chandris (Hellas) Incorporated
749617,GRC,Bulk,Capesize,<5,Lykiardopulo & Company Limited,Lykiardopulo & Company Limited
749618,GRC,Bulk,Capesize,<5,Lykiardopulo & Company Limited,Lykiardopulo & Company Limited
749850,SGP,Container,Panamax,<5,Nippon Yusen Kabushiki Kaisha (NYK),Nippon Yusen Kabushiki Kaisha (NYK)
750244,CYP,Bulk,Handy,<5,Navarone S.A.,Navarone S.A.
750312,PAN,Bulk,Panamax,<5,Hanaro Shipping Company Limited,Hanaro Shipping Company Limited
750314,MHL,Bulk,Panamax,<5,Globus Maritime Limited,Globus Shipmanagement Corporation
750529,MHL,Bulk,Panamax,<5,Magna Marine Incorporated,Magna Marine Incorporated
750534,PAN,Bulk,Panamax,<5,Tokei Kaiun Company Limited,Tokei Kaiun Company Limited
750535,LBR,Bulk,Panamax,<5,Mitsubishi Group of Companies,MC Shipping Limited
750537,LBR,Bulk,Panamax,<5,Mitsubishi Group of Companies,MC Shipping Limited
750538,PAN,Bulk,Capesize,<5,Nissen Kaiun Company Limited,Nikko Kisen K.K.
750539,PAN,Bulk,Capesize,<5,Nissen Kaiun Company Limited,Nissen Kaiun Company Limited
750541,SGP,Bulk,Panamax,<5,Naviera Ultranav Limitada,Ultrabulk Shipping A/S
750543,PAN,Bulk,Panamax,<5,Doun Kisen Company Limited,Doun Kisen Company Limited
750544,PAN,Bulk,Panamax,<5,Chiba Shipping Company Limited,Chiba Shipping Company Limited
750545,PAN,Bulk,Panamax,<5,Mizuho Sangyo Company Limited,Mizuho Sangyo Company Limited
750548,PAN,Bulk,Panamax,<5,Mitsubishi Group of Companies,Mitsubishi Ore Transport Company Limited
750607,TUR,Bulk,Panamax,<5,Ya-Sa Holding A.S.,Ya-Sa Denizcilik Sanayi ve Ticaret A.S.
750608,TUR,Bulk,Panamax,<5,Ya-Sa Holding A.S.,Ya-Sa Denizcilik Sanayi ve Ticaret A.S.
752004,DIS,Bulk,Handy,<5,J. Lauritzen A/S,J. Lauritzen A/S
752014,PAN,Bulk,Handy,<5,Wisdom Marine Lines S.A.,Wisdom Marine Lines S.A.
752018,PAN,Bulk,Handy,<5,Wisdom Marine Lines S.A.,Wisdom Marine Lines S.A.
752022,DIS,Bulk,Handy,<5,J. Lauritzen A/S,J. Lauritzen A/S
752025,PAN,Bulk,Handy,<5,Inui Global Logistics Company Limited,Inui Global Logistics Company Limited
752029,PAN,Bulk,Handy,<5,Nippon Yusen Kabushiki Kaisha (NYK),NYK Bulk & Projects Carriers
752031,DIS,Bulk,Handy,<5,J. Lauritzen A/S,J. Lauritzen A/S
752033,DIS,Bulk,Handy,<5,J. Lauritzen A/S,J. Lauritzen A/S
752147,PAN,Bulk,Handy,<5,ORIX Corporation,ORIX Maritime Corporation
752148,MLT,Bulk,Handy,<5,Navigest Trust Services & Ship Management SA,Navigest Trust Services & Ship Management SA
752204,PAN,Bulk,Handy,<5,Nissen Kaiun Company Limited,Nissen Kaiun Company Limited
752205,CYP,Bulk,Handy,<5,Hartmann Group,Intership Navigation Company Limited (ISN)
752208,CYP,Bulk,Handy,<5,Mastermind Shipmanagement Limited,Mastermind Shipmanagement Limited
752209,CYP,Bulk,Handy,<5,Hartmann Group,Intership Navigation Company Limited (ISN)
752214,PAN,Bulk,Handy,<5,Shih Wei Navigation Company Limited,Shih Wei Navigation Company Limited
752222,HKG,Bulk,Handy,<5,Pacific Basin Shipping Limited,Pacific Basin Shipping Limited
752224,HKG,Bulk,Handy,<5,Pacific Basin Shipping Limited,Pacific Basin Shipping (HK) Limited
752225,HKG,Bulk,Handy,<5,Pacific Basin Shipping Limited,Pacific Basin Shipping Limited
752248,PHL,Bulk,Handymax,<5,Ratu Shipping Company S.A.,Ratu Shipping Company S.A.
752349,BMU,Bulk,Handy,<5,,
752974,PAN,Bulk,Capesize,<5,Meiji Shipping Company Limited,Tohmei Shipping Company Limited
752975,PAN,Bulk,Capesize,<5,Meiji Shipping Company Limited,Meiji Shipping Company Limited
752979,PAN,Bulk,Handymax,<5,Sugahara Kisen K.K.,Sugahara Kisen K.K.
