VESSEL ID,VESSEL_NAME,VESSEL_TYPE,PLACE_NAME,COUNTRY_NAME,AREA_NAME,ARRIVAL_DATE,DEPARTURE_DATE
224736,Hojin,vehicle carrier,Melbourne,Australia,"Australia, New Zealand, New Guinea etc",6/22/11,6/22/11
224736,Hojin,vehicle carrier,Adelaide,Australia,"Australia, New Zealand, New Guinea etc",6/24/11,6/24/11
224736,Hojin,vehicle carrier,Nagoya,Japan,Japan,7/12/11,7/13/11
224736,Hojin,vehicle carrier,Mizushima,Japan,Japan,7/14/11,7/15/11
224736,Hojin,vehicle carrier,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",7/22/11,7/23/11
224736,Hojin,vehicle carrier,Port Sultan Qaboos,Sultanate of Oman,Gulf States,8/1/11,8/1/11
224736,Hojin,vehicle carrier,Jebel Ali,United Arab Emirates,Gulf States,8/2/11,8/3/11
224736,Hojin,vehicle carrier,Bahrain,Kingdom of Bahrain,Gulf States,8/4/11,8/5/11
224736,Hojin,vehicle carrier,Shuwaikh,Kuwait,Gulf States,8/5/11,8/6/11
224736,Hojin,vehicle carrier,Umm Qasr,Iraq,Gulf States,8/6/11,8/7/11
224736,Hojin,vehicle carrier,Al Basra Terminal,Iraq,Gulf States,8/7/11,8/7/11
224736,Hojin,vehicle carrier,Umm Qasr,Iraq,Gulf States,8/7/11,8/9/11
224736,Hojin,vehicle carrier,Strait of Hormuz,,Gulf States,8/9/11,8/9/11
224736,Hojin,vehicle carrier,Laem Chabang,Thailand,"Vietnam, Thailand, Malaysia and Indonesia",8/20/11,8/20/11
224736,Hojin,vehicle carrier,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",8/23/11,8/23/11
224736,Hojin,vehicle carrier,Mundra,India,"India, Pakistan and Burma",8/30/11,9/1/11
224736,Hojin,vehicle carrier,Port Said,Arab Republic of Egypt,North African coast,9/8/11,9/8/11
224736,Hojin,vehicle carrier,Alexandria(EGY),Arab Republic of Egypt,North African coast,9/9/11,9/9/11
224736,Hojin,vehicle carrier,Piraeus,Greece,European Mediterranean coast,9/11/11,9/11/11
224736,Hojin,vehicle carrier,Messina Strait,Italy,European Mediterranean coast,9/13/11,9/13/11
224736,Hojin,vehicle carrier,Gioia Tauro,Italy,European Mediterranean coast,9/13/11,9/16/11
224736,Hojin,vehicle carrier,Gibraltar,Gibraltar,European Mediterranean coast,9/18/11,9/18/11
224736,Hojin,vehicle carrier,Zeebrugge,Belgium,North European Atlantic coast,9/22/11,9/24/11
224736,Hojin,vehicle carrier,Bremerhaven,Germany,North European Atlantic coast,9/25/11,9/27/11
224736,Hojin,vehicle carrier,Dover Strait,United Kingdom,United Kingdom inc Eire,9/27/11,9/27/11
224736,Hojin,vehicle carrier,Southampton,United Kingdom,United Kingdom inc Eire,9/28/11,9/28/11
224736,Hojin,vehicle carrier,Gibraltar,Gibraltar,European Mediterranean coast,10/2/11,10/2/11
224736,Hojin,vehicle carrier,Savona,Italy,European Mediterranean coast,10/4/11,10/5/11
224736,Hojin,vehicle carrier,Messina Strait,Italy,European Mediterranean coast,10/6/11,10/6/11
224736,Hojin,vehicle carrier,Laem Chabang,Thailand,"Vietnam, Thailand, Malaysia and Indonesia",10/10/11,10/22/11
224736,Hojin,vehicle carrier,Suez,Arab Republic of Egypt,North African coast,10/10/11,10/10/11
224736,Hojin,vehicle carrier,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",10/24/11,10/25/11
224736,Hojin,vehicle carrier,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",10/25/11,10/26/11
224736,Hojin,vehicle carrier,Laem Chabang,Thailand,"Vietnam, Thailand, Malaysia and Indonesia",10/28/11,10/28/11
224736,Hojin,vehicle carrier,Hong Kong,People's Republic of China,"China, Korea and Russia",11/2/11,11/2/11
224736,Hojin,vehicle carrier,Shanghai,People's Republic of China,"China, Korea and Russia",11/7/11,11/8/11
224736,Hojin,vehicle carrier,Xingang,People's Republic of China,"China, Korea and Russia",11/10/11,11/10/11
224736,Hojin,vehicle carrier,Toyohashi,Japan,Japan,11/15/11,11/15/11
224736,Hojin,vehicle carrier,Nagoya,Japan,Japan,11/16/11,11/19/11
224736,Hojin,vehicle carrier,Yokohama,Japan,Japan,11/21/11,11/21/11
224736,Hojin,vehicle carrier,Puerto Quetzal,Guatemala,Central America inc Mexico to Panama,12/9/11,12/10/11
224736,Hojin,vehicle carrier,Buenaventura,Colombia,South America Pacific coast,12/12/11,12/13/11
224736,Hojin,vehicle carrier,Callao,Peru,South America Pacific coast,12/17/11,12/20/11
224736,Hojin,vehicle carrier,Iquique,Chile,South America Pacific coast,12/20/11,12/20/11
224736,Hojin,vehicle carrier,Valparaiso,Chile,South America Pacific coast,12/23/11,12/24/11
246212,MSC Erminia,fully cellular containership,Beilun,People's Republic of China,"China, Korea and Russia",1/2/11,1/3/11
246212,MSC Erminia,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",1/7/11,1/8/11
246212,MSC Erminia,fully cellular containership,Colombo,Sri Lanka,"India, Pakistan and Burma",1/17/11,1/18/11
246212,MSC Erminia,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",1/22/11,1/23/11
246212,MSC Erminia,fully cellular containership,Busan,Republic of Korea,"China, Korea and Russia",1/28/11,1/29/11
246212,MSC Erminia,fully cellular containership,Shanghai,People's Republic of China,"China, Korea and Russia",1/31/11,2/2/11
246212,MSC Erminia,fully cellular containership,Ningbo,People's Republic of China,"China, Korea and Russia",2/2/11,2/2/11
246212,MSC Erminia,fully cellular containership,Beilun,People's Republic of China,"China, Korea and Russia",2/2/11,2/3/11
246212,MSC Erminia,fully cellular containership,Hong Kong,People's Republic of China,"China, Korea and Russia",2/5/11,2/5/11
246212,MSC Erminia,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",2/8/11,2/9/11
246212,MSC Erminia,fully cellular containership,Jawaharlal Nehru,India,"India, Pakistan and Burma",2/16/11,2/17/11
246212,MSC Erminia,fully cellular containership,Colombo,Sri Lanka,"India, Pakistan and Burma",2/20/11,2/22/11
246212,MSC Erminia,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",2/26/11,2/26/11
246212,MSC Erminia,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",2/26/11,2/27/11
246212,MSC Erminia,fully cellular containership,Busan,Republic of Korea,"China, Korea and Russia",3/5/11,3/6/11
246212,MSC Erminia,fully cellular containership,Shanghai,People's Republic of China,"China, Korea and Russia",3/9/11,3/10/11
246212,MSC Erminia,fully cellular containership,Ningbo,People's Republic of China,"China, Korea and Russia",3/10/11,3/10/11
246212,MSC Erminia,fully cellular containership,Beilun,People's Republic of China,"China, Korea and Russia",3/10/11,3/11/11
246212,MSC Erminia,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",3/11/11,3/17/11
246212,MSC Erminia,fully cellular containership,Jawaharlal Nehru,India,"India, Pakistan and Burma",3/24/11,3/26/11
246212,MSC Erminia,fully cellular containership,Mumbai,India,"India, Pakistan and Burma",3/24/11,3/26/11
246212,MSC Erminia,fully cellular containership,Colombo,Sri Lanka,"India, Pakistan and Burma",3/28/11,3/30/11
246212,MSC Erminia,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",4/2/11,4/3/11
246212,MSC Erminia,fully cellular containership,Busan,Republic of Korea,"China, Korea and Russia",4/9/11,4/10/11
246212,MSC Erminia,fully cellular containership,Shanghai,People's Republic of China,"China, Korea and Russia",4/12/11,4/13/11
246212,MSC Erminia,fully cellular containership,Shekou,People's Republic of China,"China, Korea and Russia",4/15/11,4/15/11
246212,MSC Erminia,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",4/21/11,4/22/11
246212,MSC Erminia,fully cellular containership,Bandar Abbas,Iran,Gulf States,4/30/11,5/3/11
246212,MSC Erminia,fully cellular containership,Strait of Hormuz,,Gulf States,5/3/11,5/3/11
246212,MSC Erminia,fully cellular containership,Jebel Ali,United Arab Emirates,Gulf States,5/3/11,5/6/11
246212,MSC Erminia,fully cellular containership,Dammam,Saudi Arabia,Gulf States,5/8/11,5/9/11
246212,MSC Erminia,fully cellular containership,Jubail,Saudi Arabia,Gulf States,5/10/11,5/10/11
246212,MSC Erminia,fully cellular containership,Jebel Ali,United Arab Emirates,Gulf States,5/11/11,5/12/11
246212,MSC Erminia,fully cellular containership,Adabiya,Arab Republic of Egypt,Red Sea coast inc up to the Persian Gulf,5/20/11,5/21/11
